c,h,l,n,o,t,v,vw
60010.145,60010.145,60010.145,0,60010.145,2024-05-01T05:31:00Z,0.0,0.0
60056.98,60056.98,60056.98,0,60056.98,2024-05-01T05:33:00Z,0.0,0.0
60080.971,60080.971,60080.971,0,60080.971,2024-05-01T05:34:00Z,0.0,0.0
60145.627,60145.627,60103.334,0,60103.334,2024-05-01T05:35:00Z,0.0,0.0
60209.9035,60240.2,60184.386,0,60184.386,2024-05-01T05:36:00Z,0.0,0.0
60171.6665,60171.6665,60171.6665,0,60171.6665,2024-05-01T05:38:00Z,0.0,0.0
60137.65,60137.65,60137.65,0,60137.65,2024-05-01T05:41:00Z,0.0,0.0
60042.377,60119.1145,60042.377,0,60119.1145,2024-05-01T05:42:00Z,0.0,0.0
60054.655,60067.816,60054.655,0,60067.816,2024-05-01T05:43:00Z,0.0,0.0
59953.745,60007.559,59953.745,0,60007.559,2024-05-01T05:45:00Z,0.0,0.0
60038.2305,60038.2305,59967.95,0,59967.95,2024-05-01T05:46:00Z,0.0,0.0
60038.616,60038.616,60022.496,0,60022.496,2024-05-01T05:47:00Z,0.0,0.0
59994.826,59994.826,59994.826,0,59994.826,2024-05-01T05:48:00Z,0.0,0.0
60015.495,60015.495,59982.52,0,59982.52,2024-05-01T05:50:00Z,0.0,0.0
60008.4625,60037.245,60008.4625,0,60037.245,2024-05-01T05:51:00Z,0.0,0.0
60014.05,60014.05,59973.41,0,59973.41,2024-05-01T05:53:00Z,0.0,0.0
60043.0,60043.0,60043.0,0,60043.0,2024-05-01T05:57:00Z,0.0,0.0
60000.114,60000.114,60000.114,0,60000.114,2024-05-01T05:58:00Z,0.0,0.0
60052.325,60052.325,60052.325,0,60052.325,2024-05-01T05:59:00Z,0.0,0.0
60051.1795,60091.634,60051.1795,0,60055.9815,2024-05-01T06:00:00Z,0.0,0.0
60041.4,60041.4,60022.885,0,60022.885,2024-05-01T06:02:00Z,0.0,0.0
60005.041,60005.041,60005.041,0,60005.041,2024-05-01T06:03:00Z,0.0,0.0
59974.4075,59974.4075,59974.4075,0,59974.4075,2024-05-01T06:05:00Z,0.0,0.0
59904.128,59939.2055,59904.128,0,59939.2055,2024-05-01T06:06:00Z,0.0,0.0
60002.202,60002.202,59928.04,0,59928.04,2024-05-01T06:08:00Z,0.0,0.0
59973.9,59973.9,59973.9,0,59973.9,2024-05-01T06:09:00Z,0.0,0.0
59947.985,59947.985,59947.985,0,59947.985,2024-05-01T06:14:00Z,0.0,0.0
59951.45,59951.45,59913.825,0,59913.825,2024-05-01T06:16:00Z,0.0,0.0
59977.7655,59977.7655,59977.7655,0,59977.7655,2024-05-01T06:18:00Z,0.0,0.0
59943.785,59943.785,59943.785,0,59943.785,2024-05-01T06:20:00Z,0.0,0.0
59914.581,59914.581,59891.9595,0,59912.4075,2024-05-01T06:21:00Z,0.0,0.0
59885.4565,59885.4565,59885.4565,0,59885.4565,2024-05-01T06:23:00Z,0.0,0.0
59892.5,59909.91,59892.5,0,59909.91,2024-05-01T06:24:00Z,0.0,0.0
59849.35,59849.35,59849.35,0,59849.35,2024-05-01T06:25:00Z,0.0,0.0
59792.0115,59828.085,59792.0115,0,59828.085,2024-05-01T06:26:00Z,0.0,0.0
59717.08,59762.565,59717.08,0,59762.565,2024-05-01T06:27:00Z,0.0,0.0
59801.015,59801.015,59757.479,0,59757.479,2024-05-01T06:28:00Z,0.0,0.0
59726.937,59748.4435,59726.937,0,59748.4435,2024-05-01T06:29:00Z,0.0,0.0
59760.44,59760.44,59760.44,0,59760.44,2024-05-01T06:30:00Z,0.0,0.0
59659.61,59731.095,59659.61,0,59731.095,2024-05-01T06:31:00Z,0.0,0.0
59667.425,59667.425,59641.995,0,59641.995,2024-05-01T06:33:00Z,0.0,0.0
59707.056,59707.056,59707.056,0,59707.056,2024-05-01T06:34:00Z,0.0,0.0
59754.525,59754.525,59733.24,0,59733.24,2024-05-01T06:35:00Z,0.0,0.0
59729.689,59729.689,59729.689,0,59729.689,2024-05-01T06:36:00Z,0.0,0.0
59754.6395,59754.6395,59754.6395,0,59754.6395,2024-05-01T06:37:00Z,0.0,0.0
59789.091,59789.091,59789.091,0,59789.091,2024-05-01T06:38:00Z,0.0,0.0
59788.185,59815.685,59788.185,0,59815.685,2024-05-01T06:39:00Z,0.0,0.0
59804.975,59804.975,59753.888,0,59753.888,2024-05-01T06:40:00Z,0.0,0.0
59826.227,59826.227,59826.227,0,59826.227,2024-05-01T06:42:00Z,0.0,0.0
59765.7855,59781.4345,59765.7855,0,59781.4345,2024-05-01T06:46:00Z,0.0,0.0
59718.625,59718.625,59718.625,0,59718.625,2024-05-01T06:47:00Z,0.0,0.0
59689.456,59689.456,59689.456,0,59689.456,2024-05-01T06:49:00Z,0.0,0.0
59699.41,59733.305,59699.41,0,59733.305,2024-05-01T06:53:00Z,0.0,0.0
59674.5015,59674.5015,59674.5015,0,59674.5015,2024-05-01T06:54:00Z,0.0,0.0
59592.2905,59655.555,59592.2905,0,59616.8,2024-05-01T06:55:00Z,0.0,0.0
59665.325,59665.325,59631.178,0,59631.178,2024-05-01T06:56:00Z,0.0,0.0
59607.97,59632.22,59607.97,0,59632.22,2024-05-01T06:57:00Z,0.0,0.0
59625.544,59625.544,59625.544,0,59625.544,2024-05-01T06:58:00Z,0.0,0.0
59540.925,59617.43,59512.185,1,59593.332,2024-05-01T06:59:00Z,0.001,59617.43
59460.4,59518.775,59460.4,0,59518.775,2024-05-01T07:00:00Z,0.0,0.0
59415.48,59475.8525,59389.6615,0,59475.8525,2024-05-01T07:01:00Z,0.0,0.0
59379.975,59379.975,59379.975,0,59379.975,2024-05-01T07:02:00Z,0.0,0.0
59363.552,59423.9725,59363.552,0,59423.9725,2024-05-01T07:03:00Z,0.0,0.0
59329.82,59329.82,59329.82,0,59329.82,2024-05-01T07:04:00Z,0.0,0.0
