open_time,open,close,high,low,close,vol,close_time,quote_volume,trade_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1745314560000,88480.00000000,88480.01000000,88462.26000000,88462.27000000,11.56824000,1745314619999,1023399.37941150,595,8.99415000,795660.93249310,0
1745314620000,88462.26000000,88496.86000000,88462.26000000,88496.86000000,5.25730000,1745314679999,465127.72078910,523,4.75295000,420501.94844930,0
1745314680000,88496.86000000,88496.86000000,88488.02000000,88488.02000000,4.67599000,1745314739999,413808.46514800,266,3.07923000,272500.83549270,0
1745314740000,88488.03000000,88494.78000000,88488.02000000,88494.78000000,3.49398000,1745314799999,309187.52052370,246,1.60038000,141621.10014670,0
1745314800000,88494.78000000,88548.64000000,88481.49000000,88548.63000000,7.13872000,1745314859999,631875.13313830,1174,5.06666000,448494.23333510,0
1745314860000,88548.63000000,88548.64000000,88516.93000000,88516.94000000,4.06530000,1745314919999,359921.10537600,807,0.99668000,88234.83284750,0
1745314920000,88516.93000000,88516.94000000,88506.23000000,88506.24000000,5.34509000,1745314979999,473095.03971330,399,2.95486000,261527.44953180,0
1745314980000,88506.24000000,88516.94000000,88493.71000000,88493.71000000,4.04215000,1745315039999,357760.92706760,689,1.45525000,128800.41829970,0
1745315040000,88493.71000000,88514.20000000,88493.71000000,88514.20000000,4.89824000,1745315099999,433467.93905500,385,2.60853000,230841.63791210,0
1745315100000,88514.20000000,88573.92000000,88514.20000000,88571.87000000,15.03203000,1745315159999,1331032.71368160,1377,11.37051000,1006799.35691740,0
1745315160000,88571.87000000,88571.88000000,88545.28000000,88545.28000000,5.15291000,1745315219999,456319.48547150,672,1.96055000,173601.81897370,0
1745315220000,88545.28000000,88564.86000000,88526.96000000,88558.62000000,19.51725000,1745315279999,1728219.97871720,1058,10.13822000,897656.45433880,0
1745315280000,88558.62000000,88558.63000000,88540.65000000,88548.42000000,4.85968000,1745315339999,430345.93339020,537,0.39690000,35143.57631420,0
1745315340000,88548.41000000,88576.69000000,88548.41000000,88576.68000000,7.12554000,1745315399999,631134.05156500,687,2.51857000,223064.88383560,0
1745315400000,88576.69000000,88598.86000000,88576.68000000,88598.85000000,23.02378000,1745315459999,2039751.33174230,847,7.37778000,653595.74118660,0
1745315460000,88598.85000000,88600.00000000,88576.68000000,88585.17000000,29.28057000,1745315519999,2594190.01598360,1456,4.01251000,355478.84554550,0
1745315520000,88585.17000000,88585.18000000,88502.95000000,88502.96000000,8.74089000,1745315579999,773893.16540440,1512,2.01981000,178861.68010420,0
1745315580000,88502.95000000,88538.54000000,88502.95000000,88517.26000000,53.71260000,1745315639999,4754756.89505810,636,51.08102000,4521793.52619470,0
1745315640000,88517.25000000,88517.26000000,88513.99000000,88514.00000000,5.24699000,1745315699999,464448.23386360,331,3.27610000,289991.35522500,0
1745315700000,88513.99000000,88514.00000000,88502.95000000,88502.95000000,1.93054000,1745315759999,170877.92813400,480,0.49897000,44165.50885520,0
1745315760000,88502.95000000,88502.96000000,88494.97000000,88494.98000000,3.31768000,1745315819999,293611.68731900,365,0.30334000,26845.34586220,0
1745315820000,88494.98000000,88494.98000000,88494.83000000,88494.84000000,4.25956000,1745315879999,376949.21607450,299,3.12828000,276836.65767800,0
1745315880000,88494.84000000,88515.04000000,88494.83000000,88515.03000000,2.15107000,1745315939999,190377.47392390,517,1.33129000,117823.09713650,0
1745315940000,88515.04000000,88584.56000000,88515.03000000,88574.34000000,22.47469000,1745315999999,1990520.58567690,720,22.33176000,1977864.10986810,0
1745316000000,88574.33000000,88574.34000000,88488.00000000,88488.01000000,17.33526000,1745316059999,1534537.71575820,1671,4.60307000,407369.90565950,0
1745316060000,88488.01000000,88516.66000000,88488.00000000,88509.50000000,8.26108000,1745316119999,731203.18609490,621,3.20471000,283641.91688480,0
1745316120000,88509.50000000,88528.55000000,88509.50000000,88523.16000000,2.90774000,1745316179999,257389.11696350,603,1.49887000,132671.81225890,0
1745316180000,88523.15000000,88550.00000000,88523.15000000,88550.00000000,2.16779000,1745316239999,191923.64465970,484,1.94786000,172452.35118940,0
1745316240000,88550.00000000,88580.11000000,88549.99000000,88580.11000000,3.40525000,1745316299999,301567.22013320,512,2.59539000,229840.20520410,0
1745316300000,88580.11000000,88580.11000000,88535.74000000,88535.75000000,8.86381000,1745316359999,785035.21406180,764,1.27228000,112657.63979610,0
1745316360000,88535.74000000,88555.93000000,88535.74000000,88555.79000000,1.40695000,1745316419999,124583.72243620,443,0.88559000,78414.27450020,0
1745316420000,88555.78000000,88580.11000000,88555.78000000,88567.34000000,3.26999000,1745316479999,289608.26663590,710,1.20227000,106473.09687400,0
1745316480000,88567.34000000,88567.35000000,88533.29000000,88553.76000000,6.82537000,1745316539999,604379.23261040,757,3.08684000,273300.02023350,0
1745316540000,88553.76000000,88553.76000000,88553.75000000,88553.75000000,0.64384000,1745316599999,57014.44905250,174,0.26525000,23488.88484000,0
1745316600000,88553.76000000,88575.20000000,88553.75000000,88568.69000000,19.20956000,1745316659999,1701430.29882530,706,3.24492000,287377.65127240,0
1745316660000,88568.69000000,88568.69000000,88554.80000000,88554.81000000,4.56391000,1745316719999,404163.75343320,408,2.48309000,219890.49447130,0
